747, y, 1229, 3790
467, I, 3009, 1119
721, b, 1199, 1702
1323, p, 1260, 1374
4611, s, 1208, 647
2542, g, 2048, 1480
1506, z, 3353, 1205
3103, e, 4948, 1410
842, s, 4421, 4415
631, l, 1246, 4771
4533, h, 2723, 4340
3661, E, 3435, 2586
4715, Y, 1831, 2327
3921, i, 682, 3624
4268, q, 2920, 1377
2845, m, 2242, 3840
1469, G, 1182, 3682
3954, N, 979, 4384
4952, j, 2518, 2276
4913, p, 3603, 1093
3032, H, 888, 4132
4216, H, 1482, 2301
713, y, 4999, 3778
3036, I, 4609, 2906
1036, n, 4762, 3317
1985, P, 2805, 135
4255, h, 1588, 1217
1852, Z, 3702, 2000
4498, O, 710, 4886
1452, H, 4182, 1528
2214, i, 3941, 2962
1059, S, 2289, 1408
2070, d, 2084, 1166
3813, D, 3068, 4416
23, q, 1356, 319
1801, o, 3190, 2062
208, l, 263, 4429
121, W, 2903, 2690
4251, s, 258, 3469
3654, Y, 3632, 2251
3041, Y, 57, 4096
4872, Q, 4503, 857
4006, T, 3789, 1849
2168, o, 2355, 73
3904, F, 3145, 1246
1643, H, 288, 154
2887, Y, 180, 4666
1134, C, 1615, 358
4708, k, 771, 4795
2307, Z, 3467, 1245
4668, p, 2076, 4114
1059, F, 1516, 976
1928, Y, 345, 1034
4440, f, 2701, 3724
1713, Z, 4941, 2054
612, L, 182, 1812
3507, j, 2925, 4792
4098, E, 4518, 52
2527, k, 3300, 1558
765, H, 168, 1236
2754, K, 1413, 301
4252, N, 4174, 2223
4578, a, 4025, 1723
795, L, 2308, 280
2917, A, 4701, 3059
2959, I, 1328, 1732
2524, X, 617, 4928
689, k, 4448, 4856
1805, x, 1920, 4577
2889, y, 643, 4779
