3407, R, 1065, 4165
4281, a, 3181, 4627
788, F, 1909, 2715
534, i, 4145, 4330
2263, P, 310, 3286
2823, q, 4576, 1704
374, g, 256, 556
3761, U, 3645, 316
1189, z, 1362, 2672
3829, K, 3409, 4655
1431, B, 2708, 3751
2393, L, 3728, 894
4424, E, 3615, 3621
1208, j, 2401, 4001
2943, b, 2242, 3457
391, h, 4340, 3565
315, P, 1176, 3844
34, a, 2463, 1667
3486, d, 4803, 1395
4703, P, 4955, 2833
4794, i, 1918, 1402
1524, D, 4634, 717
1219, r, 195, 1975
1130, T, 2772, 1938
2946, u, 1639, 1372
1156, Y, 3354, 4157
1822, N, 3190, 442
1646, q, 3536, 654
2496, H, 3784, 1108
1028, L, 2832, 2495
4319, p, 59, 2748
4241, Q, 25, 1425
3493, a, 1952, 729
788, i, 3656, 387
1591, W, 29, 970
1205, n, 4337, 4018
3384, Z, 348, 1514
1920, F, 4593, 2234
2772, n, 488, 1776
2487, m, 1056, 578
3416, K, 1936, 220
2227, h, 471, 4984
138, L, 3981, 4727
1473, C, 2127, 1272
2774, o, 32, 3317
